"munResCod";"munResStatus";"munResTipo";"munResNome";"munResUf";"munResLat";"munResLon";"munResAlt";"munResArea"
130060;"ATIVO";"MUNIC";"Benjamin Constant";"Amazonas";-4,37499;-70,02735;70;8785,32
130063;"ATIVO";"MUNIC";"Beruri";"Amazonas";-3,89451;-61,37157;23;17507,258
130068;"ATIVO";"MUNIC";"Boa Vista do Ramos";"Amazonas";-2,97173;-57,58771;23;2586,847
130070;"ATIVO";"MUNIC";"Boca do Acre";"Amazonas";-8,75124;-67,39958;107;21938,774
130080;"ATIVO";"MUNIC";"Borba";"Amazonas";-4,39062;-59,59456;29;44253,263
130083;"ATIVO";"MUNIC";"Caapiranga";"Amazonas";-3,33009;-61,21133;20;9456,618
130090;"ATIVO";"MUNIC";"Canutama";"Amazonas";-6,52911;-64,39423;52;33642,562
130100;"ATIVO";"MUNIC";"Carauari";"Amazonas";-4,88167;-66,89664;66;25778,658
130110;"ATIVO";"MUNIC";"Careiro";"Amazonas";-3,82245;-60,36381;25;6091,554
130115;"ATIVO";"MUNIC";"Careiro da Várzea";"Amazonas";-3,1974;-59,82631;19;2631,144
130120;"ATIVO";"MUNIC";"Coari";"Amazonas";-4,08422;-63,14218;38;57976,069
130130;"ATIVO";"MUNIC";"Codajás";"Amazonas";-3,84305;-62,06343;28;18728,797
130140;"ATIVO";"MUNIC";"Eirunepé";"Amazonas";-6,66735;-69,86629;122;14966,244
130150;"ATIVO";"MUNIC";"Envira";"Amazonas";-7,43982;-70,03041;137;7505,83
130160;"ATIVO";"MUNIC";"Fonte Boa";"Amazonas";-2,51227;-66,0965;58;12155,427
130165;"ATIVO";"MUNIC";"Guajará";"Amazonas";-7,54777;-72,58243;183;7584,17
130170;"ATIVO";"MUNIC";"Humaitá";"Amazonas";-7,51222;-63,0267;55;33121,557
130180;"ATIVO";"MUNIC";"Ipixuna";"Amazonas";-7,05098;-71,69442;156;12109,771
130185;"ATIVO";"MUNIC";"Iranduba";"Amazonas";-3,28105;-60,19339;43;2214,251
130190;"ATIVO";"MUNIC";"Itacoatiara";"Amazonas";-3,14038;-58,44018;22;8892,038
130195;"ATIVO";"MUNIC";"Itamarati";"Amazonas";-6,4378;-68,24792;113;25260,429
130200;"ATIVO";"MUNIC";"Itapiranga";"Amazonas";-2,74184;-58,03455;69;4231,152
130210;"ATIVO";"MUNIC";"Japurá";"Amazonas";-1,88084;-66,9969;70;55827,207
130220;"ATIVO";"MUNIC";"Juruá";"Amazonas";-3,47489;-66,06304;64;19442,548
130230;"ATIVO";"MUNIC";"Jutaí";"Amazonas";-2,74465;-66,77133;62;69457,415
130240;"ATIVO";"MUNIC";"Lábrea";"Amazonas";-7,26195;-64,79477;58;68266,738
130250;"ATIVO";"MUNIC";"Manacapuru";"Amazonas";-3,29828;-60,62059;27;7330,074
130255;"ATIVO";"MUNIC";"Manaquiri";"Amazonas";-3,42908;-60,45888;29;3975,77
